Question,Answer1,Answer2,Answer3,CorrectAnswer
"According to an infamous ’80s hoax, April Fools’ Day was created by a Roman court jester named what?","1) Kugel ",2) Constantine,3) Boskin,1
The capital city of which country sits at the southernmost latitude?,"1) Uruguay ",2) Madagascar,3) Indonesia,1
Who owns the NFL record for consecutive playoff games with at least two touchdown passes?,"1) Joe Flacco ",2) Joe Montana,3) Tom Brady,1
The music of Rick Astley played a direct role in bringing down the leader of what country?,1) Libya,2) Venezuela,"3) Panama ",3
Which of these countries celebrates Easter with both an Easter Bunny and an Easter Bilby?,1) Sweden,2) Canada,"3) Australia ",3
Which of these punctuation marks can be found in an interrobang?,1) Ampersand,2) Pound sign,"3) Question mark ",3
Which of these figures is known for wearing a mackintosh?,1) Steve Jobs,"2) Inspector Gadget ",3) Johnny Appleseed,2
The holiday of Passover commemorates events that took place in what ancient civilization?,"1) Egypt ",2) Babylonia,3) Macedonia,1
What basketball term derives from a French phrase that circus acrobats used to shout?,"1) Alley-oop ",2) Slam dunk,3) Airball,1
The notion that “Anything that can go wrong will go wrong” is popularly known as what?,1) Peter Principle,"2) Murphy's Law ",3) Cider House Rule,2
A classic Shakespeare play details the doomed love between Romeo and who?,"1) Juliet ",2) Jessica Simpson,3) Ms. Jackson,1
Snorkelers in the water are most likely to wear what on their feet?,1) Clown shoes,2) Stiletto heels,"3) Swim fins ",3
Who was the last elected U.S. president to NOT hold office as either a Democrat or Republican?,"1) Millard Fillmore ",2) Chester A. Arthur,3) Ulysses S. Grant,1
Mozart’s “The Marriage of Figaro” continues the story of what other opera?,"1) The Barber of Seville ",2) Rigoletto,3) La Traviata,1
Which U.S. state's capital city is home to an NHL team?,"1) Ohio ",2) Florida,3) Pennsylvania,1
Birders use what four-letter word to refer to hard-to-classify birds?,1) Anon,"2) Spuh ",3) Drib,2
What kind of number is the decimal expansion of 1/7?,"1) Endless but repeating ",2) Irrational,3) Ending,1
The song used in the viral Mannequin Challenge meme features a solo by what rapper?,1) Jay-Z,"2) Gucci Mane ",3) 2 Chainz,2
What is the correct spelling of the bear family that has starred in hundreds of popular kids’ books?,1) Berensteen Bears,2) Berenstein Bears,"3) Berenstain Bears ",3
Which of these jobs requires a training and testing period that takes about 34 months?,1) IKEA store manager,2) Louvre tour guide,"3) London cab driver ",3
Which of these foods is NOT a type of onion?,1) Scallion,2) Shallot,"3) Scallop ",3
Abraham Lincoln is known for wearing what kind of headgear?,1) Propeller cap,"2) Stovepipe hat ",3) Supreme beanie,2
"On Broadway, a “triple threat” is a person who sings, dances and what?","1) Acts ",2) Bakes cakes,3) Trains dogs,1
Painter Margaret Keane’s work directly inspired which cartoon series?,1) Jem and the Holograms,"2) The Powerpuff Girls ",3) My Little Pony,2
The co-creator of the first baby monitor was recruited after his design of what?,1) Portable radio,2) Crib,"3) Coffee table ",3
"In 18th-century London, people mocked the first public user of which of these accessories?",1) Sunglasses,"2) Umbrella ",3) Purse,2
"In the U.S., which of these job uniforms is illegal to wear if you do not have that job?",1) Surgeon,"2) Postal worker ",3) Airline pilot,2
The guitarist in the E Street Band starred in which television show?,"1) The Sopranos ",2) The Practice,3) Rescue Me,1
Which of these is both a city in Morocco AND a common style of hat?,1) Kangol,"2) Fez ",3) Tangier,2
What is the name of the scientific process that turns sugars into alcohol?,"1) Fermentation ",2) Photosynthesis,3) Mutation,1
Which of these U.S. states is known for its panhandle?,"1) Florida ",2) Iowa,3) Montana,1
In which of these sports can a player NOT get a strike?,1) Bowling,2) Baseball,"3) Basketball ",3
"In astronomical terms, what is the opposite of a full moon?",1) Fresh moon,"2) New moon ",3) Hungry moon,2
In which of these places were rulers known as pharaohs?,"1) Ancient Egypt ",2) Medieval Japan,3) Studio54,1
TGIF most commonly stands for “Thank God It’s” what?,"1) Friday ",2) Frankenstein,3) Flavortown,1
Adam Sandler did NOT receive a Kids Choice Award for his work in which movie?,1) Mr. Deeds,2) Grown Ups 2,"3) Happy Gilmore ",3
What dog breed was named for a region in Germany and Poland?,"1) Pomeranian ",2) Doberman Pinscher,3) Poodle,1
Which of these states borders the Hawkeye State?,1) The Volunteer State,2) The Peace Garden State,"3) The Show Me State ",3
"Sleeping through winter is hibernation, but sleeping through summer is called what?",1) Transolation,"2) Estivation ",3) Decarburization,2
Which U.S. president’s middle name is Gamaliel?,"1) Warren Harding ",2) James Polk,3) Rutherford Hayes,1
The Latin phrase “tempus fugit” literally translates to what?,1) Buyer beware,2) Come together,"3) Time flies ",3
"Thanks to the time it took to make, what movie was almost called “12 Years”?","1) Boyhood ",2) The LEGO Movie,3) Castaway,1
