id,created_at,text
982426133529579520,2018-04-07 01:13:37,"A son of Rutherford B. Hayes co-founded a company that invented what household item?
1) Brillo pad
2) Vacuum cleaner
3) D battery ✓"
982425827123060743,2018-04-07 01:12:24,"Ransom Riggs’s debut novel was adapted into a movie by what director?
1) Richard Linklater
2) Tim Burton ✓
3) Guillermo del Toro"
982425650224156675,2018-04-07 01:11:42,"The name of the famous satellite “Sputnik” roughly translates to what?
1) Sky walker
2) View tomorrow
3) Travel companion ✓"
982425449023311872,2018-04-07 01:10:54,"Eggs Benedict made with crab meat instead of ham is commonly known as what?
1) Eggs Juno
2) Eggs Poseidon
3) Eggs Neptune ✓"
982425274489896960,2018-04-07 01:10:12,"To Londoners, the board game Americans know as “Clue” is known as what?
1) Cluewho
2) Cluetime
3) Cluedo ✓"
982425082604683264,2018-04-07 01:09:26,"Which of these common food additives comes from the ocean?
1) Guar gum
2) Carrageenan ✓
3) Pectin"
982424894477565952,2018-04-07 01:08:42,"Which US state has a capital city with an American Indian name?
1) Arizona
2) Florida ✓
3) North Dakota"
982424715838083072,2018-04-07 01:07:59,"Which of the five main human senses primarily relies on papillae?
1) Taste ✓
2) Sight
3) Hearing"
982424564113264640,2018-04-07 01:07:23,"Which magazine is known for its annual ranking of the 400 wealthiest Americans?
1) Financial Times
2) Fortune
3) Forbes ✓"
982424371288518656,2018-04-07 01:06:37,"Which of these names also refers specifically to a male duck?
1) Meek
2) Mill
3) Drake ✓"
982424228694720512,2018-04-07 01:06:03,"What advice would you most likely get from an orthodontist?
1) Dye your hair
2) Finish that screenplay
3) Floss regularly ✓"
982424079968948224,2018-04-07 01:05:27,"What is applied to unpopped corn to pop it?
1) Peer pressure
2) Heat ✓
3) Nail polish"
982335415930773504,2018-04-06 19:13:08,"Which of these candies was introduced first?
1) Life Savers
2) Charleston Chew
3) Tootsie Rolls ✓"
982335117606744064,2018-04-06 19:11:57,"What is the name of the figure considered to be a four-dimensional equivalent of a Mobius strip?
1) Klein Bottle ✓
2) Schrodinger Flask
3) Hawking Rope"
982334886169251840,2018-04-06 19:11:02,"What NBA team's owner once said, “There's no chance the iPhone is going to get any significant market share”?
1) LA Clippers ✓
2) Dallas Mavericks
3) NY Knicks"
982334691062833152,2018-04-06 19:10:15,"Which state’s most populated city has the most people?
1) Colorado
2) Maryland
3) Ohio ✓"
982334517926158336,2018-04-06 19:09:34,"Which author’s breakout success was an essay about working at Macy’s?
1) David Eggers
2) David Foster Wallace
3) David Sedaris ✓"
982334353891000321,2018-04-06 19:08:55,"The voice of what “Toy Story” character also played the titular role in ""Sully""?
1) Slinky Dog
2) Buzz Lightyear
3) Woody ✓"
982334169366827008,2018-04-06 19:08:11,"Which of these European nations currently has a king?
1) Finland
2) Austria
3) Belgium ✓"
982334013351387136,2018-04-06 19:07:34,"Which of these Ivy League schools is situated farthest north?
1) Brown
2) Cornell
3) Dartmouth ✓"
982333782006132736,2018-04-06 19:06:39,"In baseball, a player is said to get a “golden sombrero” for doing what?
1) Breaking bat
2) Striking out four times ✓
3) Catching ball with hat"
982333623784308736,2018-04-06 19:06:01,"By definition, people who are somnambulists do what?
1) Walk in their sleep ✓
2) Eat at their desks
3) Work from home"
982333370658164737,2018-04-06 19:05:01,"The chief judge of the US Supreme Court is called what?
1) Chief Justice ✓
2) Chief Moose
3) Chief Wiggum"
982333222351753216,2018-04-06 19:04:25,"According to a famous saying, “a journey of a thousand miles begins with a single” what?
1) Energy drink
2) Step ✓
3) Ride-hailing app"
982063647039066112,2018-04-06 01:13:13,"Which of these sports typically uses the heaviest standard ball?
1) Cricket
2) Baseball
3) Fast-pitch softball ✓"
982063331908472832,2018-04-06 01:11:58,"Michael Douglas’s first Oscar was for a film set where?
1) Investment Bank
2) Battlefield
3) Mental Institution ✓"
982063137779138561,2018-04-06 01:11:12,"Who was NOT a model for Grant Wood’s painting American Gothic?
1) Wood's grocer ✓
2) Wood’s sister
3) Wood's dentist"
982062937698373633,2018-04-06 01:10:24,"If an event is biennial, how many times will it happen in a decade?
1) Ten
2) Five ✓
3) Twenty"
982062733809078272,2018-04-06 01:09:36,"What ’70s sitcom had a theme song composed by Quincy Jones?
1) Good Times
2) What’s Happening!!
3) Sanford &amp; Son ✓"
982062541638692864,2018-04-06 01:08:50,"Whose work would you be most likely to learn more about on https://t.co/wIN6SjdXeh?
1) Robert Cray ✓
2) Bob &amp; Ray
3) Bobby Flay"
982062320250650624,2018-04-06 01:07:57,"Which of these is NOT one of the Benelux nations?
1) Belgium
2) Netherlands
3) Liechtenstein ✓"
982062171583582208,2018-04-06 01:07:22,"What rapper starred in the movie that made “Bye, Felicia” a catchphrase?
1) Will Smith
2) Ice Cube ✓
3) Eminem"
982061945602871297,2018-04-06 01:06:28,"How long is a single term for a US senator?
1) Two years
2) Six Years ✓
3) Eight years"
982061806230351872,2018-04-06 01:05:55,"What word is typically used to refer to a serving of ribs?
1) Cob
2) Rack ✓
3) Hoist"
982061670632747008,2018-04-06 01:05:22,"Which of these is a common type of flying insect?
1) Fumblebee
2) Mumblebee
3) Bumblebee ✓"
982061536016523266,2018-04-06 01:04:50,"Which of these are commonly worn to bed?
1) Oven mitts
2) Overalls
3) Pajamas ✓"
981972669297057792,2018-04-05 19:11:43,"The Declaration of Independence was NOT signed by which of these people?
1) John Adams
2) Josiah Bartlett
3) George Washington ✓"
981972393970237440,2018-04-05 19:10:37,"Which of these desserts gets its name from a very old term for “small sausage”?
1) Cobbler
2) Pudding ✓
3) Trifle"
981972219046834176,2018-04-05 19:09:55,"In the 1990s, a Texas county designated what as its official phone greeting?
1) Howdy
2) Heaven-o ✓
3) Ahoy-hoy"
981972047969619968,2018-04-05 19:09:15,"Which of these movies did NOT win an Academy Award for Best Original Song?
1) Footloose ✓
2) Flashdance
3) Dirty Dancing"
